,t,phi,omega,alpha,r,r-dot,r-dotdot
0,0.0,-0.000340546083069221,1.65462811694205,1.25172491094664,0.390860577403382,0.122566825808922,-0.679693849486128
1,0.00555555555555555,0.00889046297264244,1.66114939171438,1.03840467450592,0.391535251868995,0.118758350379292,-0.695130993404597
2,0.0111111111111111,0.0181448873072215,1.66648965566023,0.839262145398584,0.392187487084841,0.114864731366635,-0.709616166131278
3,0.0166666666666667,0.0274181956535506,1.67073137451917,0.653858200937323,0.392816976855697,0.110891437035747,-0.723176984922762
4,0.0222222222222222,0.0367061214717716,1.67395412502392,0.481757204735226,0.393423431310202,0.106843759873385,-0.735840790596116
5,0.0277777777777778,0.0460046574284126,1.676234640637,0.322527127889507,0.394006576629735,0.10272681946785,-0.747634641162944
6,0.0333333333333333,0.0553100498755151,1.67764685728726,0.175739670165252,0.394566154777279,0.0985455653885784,-0.758585305463445
7,0.0388888888888889,0.064618793329761,1.67826195910652,0.0409703811791622,0.3951019232263,0.0943047800657262,-0.768719256800474
8,0.0444444444444444,0.0739276249515997,1.67814842416613,-0.0822012184166986,0.395613654689616,0.0900090816697582,-0.778062666573605
9,0.05,0.083233519024375,1.67737207021356,-0.194191515751162,0.396101136848269,0.0856629269910346,-0.786641397913186
10,0.0555555555555556,0.0925336814334526,1.67599610040901,-0.29541268455021,0.396564172080398,0.0812706143193986,-0.794480999314405
11,0.0611111111111111,0.101825544145347,1.67408114906195,-0.38627256395323,0.39700257719011,0.0768362863237638,-0.801606698271345
12,0.0666666666666667,0.111106759686847,1.67168532736776,-0.467174537329271,0.397416183136353,0.0723639329317014,-0.808043394911051
13,0.0722222222222222,0.120375195624147,1.66886426914429,-0.538517411093297,0.397804834761787,0.0678573942090278,-0.813815655627582
14,0.0777777777777778,0.129628929041968,1.66567117656844,-0.600695293522447,0.398168390521658,0.0633203632393916,-0.81894770671608
15,0.0833333333333333,0.138866241022692,1.66215686591278,-0.654097473572286,0.398506722212667,0.0587563890038613,-0.823463428006823
16,0.0888888888888889,0.14808561112548,1.6583698132821,-0.699108299693062,0.398819714701846,0.0541688792605126,-0.82738634649929
17,0.0944444444444444,0.157285711865409,1.65435620035003,-0.736107058645963,0.399107265655425,0.0495611034240154,-0.830739629996219
18,0.1,0.166465403192591,1.65015996009561,-0.76546785431937,0.399369285267709,0.0449361954452218,-0.83354608073767
19,0.105555555555556,0.175623726971304,1.64582282253988,-0.787559486545116,0.399605695989946,0.0402971566907529,-0.83582812903508
20,0.111111111111111,0.184759901459119,1.64138436048247,-0.802745329914736,0.399816432259202,0.0356468588225864,-0.837607826905331
21,0.116666666666667,0.193873315786025,1.63688203523818,-0.81138321259573,0.400001440227233,0.030988046677644,-0.838906841704801
22,0.122222222222222,0.202963524433559,1.6323512423736,-0.813825295147811,0.400160677489355,0.0263233411473787,-0.839746449763436
23,0.127777777777778,0.212030241713931,1.62782535744364,-0.810417949339166,0.400294112813315,0.0216552420573621,-0.840147530018798
24,0.133333333333333,0.221073336249151,1.62333578172816,-0.801501636962709,0.400401725868167,0.0169861310468718,-0.840130557650135
25,0.138888888888889,0.230092825450157,1.61891198796857,-0.787410788652338,0.400483506953144,0.0123182744484788,-0.839715597712435
26,0.144444444444444,0.239088869995942,1.61458156610437,-0.768473682699185,0.400539456726524,0.00765382616763497,-0.838922298770491
27,0.15,0.248061768312681,1.61037026900978,-0.745012323867882,0.400569585934509,0.00299483056226003,-0.837769886532957
