,t,x,y,vx,vy,ax,ay
0,0.0,-0.233163305474121,0.129502996364223,0.280096744149737,0.838406346780422,0.940466789306857,-1.35760498163338
1,0.00555555555555555,-0.231602006823408,0.134145175723378,0.285427991640758,0.830843913228596,0.982660214097421,-1.35335590394839
2,0.0111111111111111,-0.230007445880787,0.138744714541328,0.290981242994377,0.823316861272385,1.02113387485388,-1.34967357433318
3,0.0166666666666667,-0.228378959070661,0.143301837733788,0.296737050426302,0.815819585748229,1.05603840994316,-1.3465712806044
4,0.0222222222222222,-0.226715937026851,0.14781673997405,0.302676691084416,0.808346655923791,1.08752092899663,-1.34406016329272
5,0.0277777777777778,-0.225017823533901,0.152289586454936,0.308782153849943,0.800892814009321,1.11572504229943,-1.34214927231113
6,0.0333333333333333,-0.223284114468387,0.156720513650756,0.315036126138624,0.793452973669023,1.14079089017976,-1.34084562362339
7,0.0388888888888889,-0.221514356740223,0.161109630079261,0.321421980701879,0.786022218532424,1.16285517239818,-1.34015425591235
8,0.0444444444444444,-0.219708147233967,0.1654570170636,0.327923762427988,0.778595800705741,1.18205117753696,-1.34007828724835
9,0.05,-0.21786513175013,0.169762729494273,0.33452617514325,0.771169139283243,1.19850881238937,-1.34061897175757
10,0.0555555555555556,-0.215985003946482,0.174026796591087,0.341214568413165,0.763737818858625,1.21235463134898,-1.3417757562904
11,0.0611111111111111,-0.214067504279359,0.178249222665113,0.347974924343595,0.756297588036368,1.22371186579899,-1.34354633708983
12,0.0666666666666667,-0.212112418944971,0.182429987880638,0.35479384438194,0.748844357943112,1.23270045350153,-1.34592671645981
13,0.0722222222222222,-0.210119578820706,0.18656904901712,0.361658536118306,0.741374200739019,1.23943706798698,-1.34891125943363
14,0.0777777777777778,-0.20808885840644,0.190666340231146,0.368556800086678,0.733883348129139,1.24403514794328,-1.35249275044227
15,0.0833333333333333,-0.206020174765843,0.194721773818385,0.375477016566087,0.726368189874782,1.24660492660522,-1.35666244998279
16,0.0888888888888889,-0.203913486467687,0.198735240975545,0.382408132381783,0.718825272304878,1.24725346114379,-1.36141015128671
17,0.0944444444444444,-0.201768792527151,0.202706612562324,0.389339647706405,0.711251296827351,1.24608466205545,-1.36672423698834
18,0.1,-0.199586131347127,0.20663573986337,0.39626160286115,0.70364311844048,1.24319932255148,-1.3725917357932
19,0.105555555555556,-0.197365579659533,0.210522455350233,0.403164565116946,0.695997744244268,1.23869514794726,-1.37899837914635
20,0.111111111111111,-0.195107251466612,0.21436657344332,0.41003961549562,0.688312331951811,1.2326667850516,-1.38592865790081
21,0.116666666666667,-0.192811296982246,0.218167891273852,0.416878335571071,0.68058418840066,1.22520585155603,-1.39336587898588
22,0.122222222222222,-0.190477901573258,0.221926189445819,0.423672794270439,0.672810768064194,1.21640096542414,-1.40129222207552
23,0.127777777777778,-0.188107284700721,0.225641232797932,0.430415534675273,0.664989671562981,1.20633777428088,-1.40968879625677
24,0.133333333333333,-0.185699698861266,0.229312771165581,0.437099560822707,0.657118644176148,1.19509898480186,-1.41853569669806
25,0.138888888888889,-0.183255428528387,0.232940540142789,0.443718324506627,0.649195574352749,1.18276439210266,-1.42781206131761
26,0.144444444444444,-0.180774789093748,0.236524261844169,0.45026571207884,0.641218492223128,1.16941090912817,-1.4374961274518
27,0.15,-0.178258125808493,0.240063645666876,0.45673603125025,0.63318556811029,1.15511259604187,-1.44756528852353
28,0.155555555555556,-0.175705812724548,0.243558389052563,0.463123997892021,0.625095111041264,1.13994068961516,-1.45799615071062
29,0.161111111111111,-0.173118251635934,0.247008178249338,0.469424722836755,0.616945567258473,1.12396363261665,-1.46876458961413
30,0.166666666666667,-0.170495871020069,0.250412689073717,0.475633698679655,0.608735518731099,1.10724710320149,-1.4798458069268
31,0.172222222222222,-0.167839124979075,0.253771587672579,0.481746786579703,0.600463681666451,1.08985404430069,-1.49121438710135
32,0.177777777777778,-0.16514849218109,0.257084531285124,0.487760203060826,0.592128905021332,1.07184469301041,-1.50284435401889
33,0.183333333333333,-0.16242447480157,0.260351169004823,0.493670506813065,0.583730169013404,1.05327660998126,-1.51470922765731
34,0.188888888888889,-0.159667597464597,0.263571142541378,0.49947458549375,0.575266583632556,1.03420470880766,-1.52678208075959
35,0.194444444444444,-0.15687840618419,0.266744086982675,0.505169642528668,0.566737387152273,1.0146812854171,-1.53903559550223
36,0.2,-0.154057467305604,0.269869631556739,0.510753183913234,0.558141944640997,0.994756047459472,-1.5514421201636
37,0.205555555555556,-0.151205366446645,0.272947400393687,0.516223005013659,0.549479746473502,0.974476143696398,-1.56397372579229
38,0.211111111111111,-0.148322707438972,0.27597701328769,0.521577177368126,0.540750406842253,0.95388619339051,-1.57660226287553
39,0.216666666666667,-0.145410111269407,0.278958086458919,0.526814035487954,0.53195366226878,0.933028315694777,-1.58929941800751
40,0.222222222222222,-0.14246821502124,0.281890233315506,0.531932163658775,0.523089370115037,0.91194215904182,-1.60203677055777
41,0.227777777777778,-0.139497670815536,0.284773065215497,0.536930382741697,0.514157507094777,0.890664930533213,-1.6147858493396
42,0.233333333333333,-0.136499144752443,0.28760619222881,0.541807736974482,0.505158167784913,0.869231425328801,-1.62751818927835
43,0.238888888888889,-0.133473315852499,0.290389223899185,0.546563480772712,0.496091563136887,0.84767405603601,-1.64020538807987
44,0.244444444444445,-0.130420874997938,0.293121770006143,0.551197065530959,0.486958018988037,0.826022882099156,-1.65281916289883
45,0.25,-0.127342523873998,0.29580344132694,0.55570812642396,0.477757974572963,0.804305639188758,-1.66533140700711
