,t,phi,omega,alpha,r,r-dot,r-dotdot
0,0.0,0.000236254546797542,1.43132420505237,-0.187466814933009,0.519805014230124,-0.0350631343625155,-0.425550024837057
1,0.005555555556,0.00817741492848825,1.43045545409548,-0.137291425816622,0.519599816955753,-0.0373375913844029,-0.3773197278983
2,0.01111111111,0.0161180965733578,1.42983123096583,-0.0920036387288843,0.519384771310663,-0.0393400711926216,-0.331895895290416
3,0.01666666667,0.0240589016976965,1.42942908412306,-0.0513509465321491,0.519160955933482,-0.0410878713290296,-0.289207216012059
4,0.02222222222,0.0320003828824896,1.42922754390637,-0.0150880700518927,0.518929393998184,-0.0425976996953261,-0.24918197788711
5,0.02777777778,0.0399430443418555,1.42920610399428,0.0170231298330396,0.518691054324138,-0.0438856837087713,-0.211748120038904
6,0.03333333333,0.0478873431914825,1.42934520286457,0.0452137401001891,0.51844685248617,-0.0449673794579058,-0.176833285364462
7,0.03888888889,0.0558336907170673,1.42962620525403,0.0697078834932383,0.518197651924618,-0.0458577808582701,-0.144364873008718
8,0.04444444444,0.063782453642752,1.43003138361839,0.0907228064317663,0.517944265055382,-0.046571328808124,-0.114270090838752
9,0.05,0.0717339553995622,1.43054389959211,0.108468966921003,0.51768745437999,-0.0471219203441664,-0.0864760079180214
10,0.05555555556,0.0796884773938443,1.43114778544825,0.123150122461586,0.517427933595645,-0.0475229177972544,-0.0609096069805886
11,0.06111111111,0.0876462602757033,1.43182792555829,0.134963417959313,0.517166368705285,-0.0477871579481233,-0.0374978369053522
12,0.06666666667,0.0956075052074404,1.43257003785204,0.144099473634897,0.516903379127638,-0.0479269611831058,-0.0161676651902782
13,0.07222222222,0.103572375131991,1.43336065527739,0.150742472933725,0.516639538807278,-0.0479541406498515,0.00315386957337044
14,0.07777777778,0.111540996041361,1.43418710726023,0.155070250435609,0.516375377324683,-0.0478800114130466,0.0205396052268032
15,0.08333333333,0.119513458245066,1.43503750116427,0.15725437976454,0.516111381006287,-0.0477153996101334,0.0360622035694722
16,0.08888888889,0.127489817638569,1.43590070375088,0.157460261498449,0.515847994034538,-0.0474706516070295,0.0497940978848407
17,0.09444444444,0.135470096971717,1.43676632263894,0.155847211078956,0.515585619557954,-0.0471556431538477,0.0618074404661542
18,0.1,0.143454287117178,1.4376246877647,0.152568546721128,0.51532462080118,-0.0467797885406154,0.0721740501422088
19,0.1055555556,0.15144234833888,1.43846683284159,0.147771677323232,0.515065322175041,-0.0463520497529939,0.0809653598031218
20,0.1111111111,0.159434211560451,1.43928447682011,0.141598190376492,0.514808010386601,-0.0458809456279984,0.0882523639261012
21,0.1166666667,0.16742977963365,1.44007000534764,0.134183939874843,0.514552935549216,-0.0453745610097169,0.0941055661012148
22,0.1222222222,0.17542892860681,1.44081645222829,0.125659134224688,0.514300312292592,-0.0448405559050301,0.0985949265571607
23,0.1277777778,0.183431508993276,1.44151748088278,0.116148424154647,0.514050320872841,-0.0442861746393309,0.101789809687036
24,0.1333333333,0.191437347039838,1.44216736580823,0.105770990625319,0.513803108282536,-0.043718255012244,0.103758931574108
25,0.1388888889,0.199446245995173,1.44276097403805,0.0946406327390339,0.513558789360766,-0.0431432374533449,0.104570307517581
26,0.1444444444,0.207457987378282,1.44329374660176,0.0828658556496071,0.513317447903195,-0.0425671741778801,0.104291199558371
27,0.15,0.215472332246925,1.44376167998487,0.070549958472095,0.513079137772114,-0.0419957383424861,0.102988064004869
28,0.1555555556,0.223489022466061,1.44416130758866,0.05779112219255,0.5128438840065,-0.0414342332009092,0.100726498958715
29,0.1611111111,0.231507781976285,1.4444896811901,0.0446824975777758,0.512611683932071,-0.040887601259725,0.0975711918405682
30,0.1666666667,0.239528318062267,1.44474435240164,0.0313122930850819,0.512382508271342,-0.0403604334340577,0.0935858669158727
31,0.1722222222,0.247550322621186,1.4449233541311,0.017763862772039,0.51215630225368,-0.0398569782032999,0.0888332328206306
32,0.1777777778,0.255573473431171,1.44502518204145,0.00411579420623261,0.51193298672536,-0.0393811507668317,0.0833749300871707
33,0.1833333333,0.263597435419738,1.44504877601075,-0.00955800362497916,0.511712459259622,-0.0389365421997409,0.0772714786699177
34,0.1888888889,0.271621861932227,1.4449935015919,-0.0231882124047131,0.511494595266728,-0.0385264286085417,0.0705822254711621
35,0.1944444444,0.27964639600024,1.44485913147255,-0.0367100165768057,0.511279249104013,-0.0381537802868949,0.0633652918668304
36,0.2,0.287670671610078,1.44464582693491,-0.0500630154360564,0.511066255185949,-0.0378212708713269,0.0556775212322545
37,0.2055555556,0.295694314971179,1.44435411931562,-0.0631911352184739,0.510855429094191,-0.0375312864969498,0.04757442646794
38,0.2111111111,0.303716945784556,1.44398489146557,-0.0760425411915229,0.510646568687641,-0.0372859349531801,0.0391101375253389
39,0.2166666667,0.311738178511235,1.44353935920979,-0.0885695497443652,0.510439455212501,-0.0370870548394591,0.0303373489326168
40,0.2222222222,0.319757623640691,1.44301905280723,-0.100728540478108,0.510233854412329,-0.0369362247209716,0.0213072673204218
41,0.2277777778,0.327774888959288,1.44242579841065,-0.112479868296045,0.510029517638093,-0.0368347722843661,0.0120695589476583
42,0.2333333333,0.335789580818715,1.44176169952647,-0.123787775493908,0.50982618295823,-0.036783783493474,0.00267229722725088
43,0.2388888889,0.343801305404422,1.44102911847458,-0.134620303850107,0.509623576268702,-0.0367841117450288,-0.00683808974807984
44,0.2444444444,0.351809670004061,1.44023065784822,-0.144949206715976,0.509421412403048,-0.0368363870243865,-0.0164168716800532
45,0.25,0.359814284275924,1.4393691419738,-0.154749861106016,0.509219396242445,-0.0369410250612442,-0.0260210685390539
46,0.2555555556,0.367814761517376,1.43844759837077,-0.164001179788145,0.509017223825759,-0.0370982364853599,-0.0356095030383679
47,0.2611111111,0.375810719933297,1.43746923921146,-0.172685523373941,0.508814583459605,-0.0373080359822724,-0.0451428531084057
48,0.2666666667,0.383801783904518,1.43643744278088,-0.180788612408884,0.508611156828401,-0.0375702514490203,-0.0545837043709389
49,0.2722222222,0.391787585256258,1.43535573493664,-0.188299439462602,0.508406620104424,-0.0378845331498616,-0.0638966026133289
50,0.2777777778,0.399767764526563,1.43422777056875,-0.195210181219124,0.508200645057866,-0.0382503628719939,-0.0730481062627528
51,0.2833333333,0.407739259777639,1.43308018083516,-0.201695705380056,0.507990346409281,-0.038648123508207,-0.0820292763577611
52,0.2888888889,0.415702967934495,1.43188872488266,-0.207097988616823,0.50777811987234,-0.0391157814731263,-0.0903201920765458
53,0.2944444444,0.423658274362241,1.43066254510639,-0.211808470001186,0.507563788433291,-0.0396361210166376,-0.0983233336973445
54,0.3,0.431605247591139,1.42940915911137,-0.215837883522063,0.507346593778833,-0.0402081874037345,-0.106014934970203
55,0.3055555556,0.439543830612488,1.42813535267324,-0.219211007012685,0.50712618675155,-0.0408302419207967,-0.113376451059551
56,0.3111111111,0.447475010474587,1.42684527859347,-0.221965152014667,0.506902169725791,-0.0415007161135888,-0.120388891848699
57,0.3166666667,0.455398317433512,1.42554353274258,-0.224134867961935,0.506673745430201,-0.0422193706587478,-0.127032707682108
58,0.3222222222,0.463313700963428,1.42423517557004,-0.225749689201024,0.506440602074742,-0.0429846257100597,-0.133294557324331
59,0.3277777778,0.471220899937359,1.42292336626417,-0.226838331106121,0.506202245578314,-0.0437937153464406,-0.13916161215275
60,0.3333333333,0.479119524569721,1.42161273289152,-0.22742766898387,0.505957825961606,-0.0446443088458556,-0.144624823490213
61,0.3388888889,0.487009342514255,1.4203080334015,-0.227542613132112,0.505707248046631,-0.0455330055851197,-0.149692596489328
62,0.3444444444,0.494890615543723,1.41901128703391,-0.227215183375709,0.505450815735884,-0.0464559667530926,-0.154386268651895
63,0.35,0.502763554978834,1.41772507824632,-0.226494067901664,0.505188676962334,-0.0474083681408859,-0.158726408473229
64,0.3555555556,0.510628402529743,1.41645190768588,-0.225435494009962,0.504920547636366,-0.0483852394721965,-0.162729571258907
65,0.3611111111,0.518485407269599,1.4151934621425,-0.224092080942052,0.504646345568283,-0.049383757516661,-0.166417367603402
66,0.3666666667,0.526335062591281,1.4139519035677,-0.222511558332029,0.504366622805625,-0.0503999972666753,-0.169817676941659
67,0.3722222222,0.534176941275005,1.41272640990364,-0.22074061326405,0.504081380730728,-0.0514293275346448,-0.172953104951694
68,0.3777777778,0.542011408363873,1.4115161964097,-0.218823484327033,0.503790312751979,-0.0524678855326021,-0.175840195687581
